№ п/п	Инвентарный номер ИП	Дата сделки	Год постройки КС	Количество надземных этажей	Общая площадь помещения, кв.м	Этаж расположения	Количество жилых помещений (комнат), кв.м	Площадь кухни, кв.м	Наличие балкона, лоджии 	Наличие кладовой, гардеробной или других помещений для хранения	Высота потолка	Стеклопакеты в окнонных проемах	Возможность свободной планировки	Горячее водоснабжение	Санузлы	Отопление	Кондиционирование и вентиляция	Общее состояние здания/помещения	Элементы ландшафтного дизайна	Спортивная площадка	Огороженная территория	Количество парковочных мест для автомобилей	Собственная служба эксплуатации, управляющая компания	Консъерж/внутреннее видеонаблюдение	Подземный крытый паркинг (количество мест на парковке, шт.)	Наименование материала стен	"Наименование ""Виды конструкций"""	Территория	Доступность центра	Расстояние от СНП до центра притяжения	Цена, USD/кв.м	Цена за весь объект, USD	Маркер релевантности (1-релевантно, 0-нерелевантно)	номер оценочной зоны	СЗЗ	Пешеходная доступность рекреационой зоны	Маркер релевантности после усреднения	Стоимость Ани на дату сделки
575	123/D-7133	15.08.2014	1979	5	32.4	4	1	9.9	1	нет	до 2.7	нет	нет	Централизованное	1	Централизованное	Приточно-вытяжная вентиляция	Хорошее	Нет	нет	нет	25				Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	297.63	9643.20	0	кобрин1_жм	0	0	0	618.96
607	123/D-7414	20.01.2014	1973	5	63.9	4	3	6.3	1	нет	до 2.7	нет	нет	Автономное	1	Централизованное		Хорошее	Нет	нет	нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	845.07	54000.00	0	кобрин1_жм	1	0	0	595.48
613	123/D-7512	30.05.2013	1971	5	33.3	4	1	4.7	нет	нет	до 2.7	нет	нет	Автономное	1	Централизованное	Приточно-вытяжная вентиляция	Хорошее	Нет	нет	нет					Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	296.85	9885.06	0	кобрин1_жм	0	1	0	562.67
652	123/D-7913	29.09.2012	1996	5	36.8	5	1	7.5	Нет	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное	Приточно-вытяжная вентиляция	Хорошее	Да		Да	40				Сборный железобетон	Бескаркасная	г. Кобрин	до 10 включительно	0	319.69	11764.71	1	кобрин1_жм	1	1	0	531.62
673	123/D-8257	10.12.2013	1966	5	43.3	5	2	4.9	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	свыше 10 до 20 включительно	0	245.69	10638.30	0	кобрин2_жм	0	0	0	577.29
677	123/D-8316	24.10.2011	2003	5	68.2	3	3	9.2	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	711.13	48498.85	0	кобрин1_жм	0	1	0	
678	123/D-8335	17.09.2014	1971	5	43.8	2	2	5.7			до 2.7	нет	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	свыше 10 до 20 включительно	0	217.23	9514.75	0	кобрин2_жм	1	0	0	618.30
703	123/D-8601	29.03.2013	1981	5	47	3	2	9.3	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное										Сборный железобетон	Бескаркасная	г. Кобрин	свыше 30 до 40 включительно	0	202.07	9497.36	0	кобрин2_жм	1	0	0	538.01
718	123/D-8799	15.09.2012	1986	5	46.8	2	2	7.3	2 и более	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное										Сборный железобетон	Бескаркасная	г. Кобрин	свыше 10 до 20 включительно	0	356.13	16666.67	1	кобрин2_жм	1	0	0	515.47
762	123/D-9439	31.08.2012	1987	5	61.8	2	3	6.8	1	Нет	до 2.7	Нет	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	288.61	17835.91	0	кобрин1_жм	1	1	0	530.39
789	140/D-16536	21.02.2014	2014	5	39.1	4	1	9.4	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	817.19	31952.06	1	кобрин1_жм	1	1	0	681.57
790	140/D-16543	12.03.2014	2014	5	39.3	3	1	9.4	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	818.44	32164.69	1	кобрин1_жм	1	1	0	681.57
795	140/D-16625	18.04.2014	2014	5	39.5	2	1	9.4	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	254.44	10050.25	0	кобрин1_жм	1	1	0	691.75
797	140/D-16626	15.04.2014	2014	5	39.1	2	1	9.4	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	257.56	10070.49	0	кобрин1_жм	1	1	0	691.75
798	140/D-16627	15.04.2014	2014	5	38.7	2	1	9.3	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	260.22	10070.49	0	кобрин1_жм	1	1	0	691.75
799	140/D-16628	15.04.2014	2014	5	59.6	3	2	11.8	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	253.45	15105.74	0	кобрин1_жм	1	1	0	687.88
803	140/D-16632	01.04.2014	2014	5	59.4	5	2	11.6	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Кобрин	до 10 включительно	0	218.52	12980.26	0	кобрин1_жм	1	1	0	667.85
1379	500/D-267010	29.10.2014	1971	9	30.7	5	1	7.4	Нет	2 и более	до 2.7		Нет данных	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	2280.13	70000.00	0	Минск5_жм	0	1	0	1953.57
1388	500/D-267478	11.07.2014	1971	5	20.9	5	1	5	Нет	1	до 2.7	Нет	Да	Централизованное	1	Централизованное		Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	2296.65	48000.00	0	Минск10_жм	0	1	0	2044.80
1389	500/D-267490	17.07.2014	1971	5	21.6	2	1	5	1	1	до 2.7	Нет	Нет данных	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	2268.52	49000.00	0	Минск10_жм	0	1	0	2106.15
2066	500/D-424891	06.12.2014	1982	16	42.9	4	1	8.2	1	1	до 2.7	Нет	Нет	Централизованное	1	Централизованное		Удовлетворительное								Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	2202.80	94500.00	0	Минск3_жм	1	1	0	1643.27
2316	500/D-655820	02.12.2014	2002	13	110.7	10	4	15.5	1	1	2.7 - 3	Да	Нет данных	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	2339.66	259000.00	0	Минск9_жм	0	1	0	1673.09
2355	500/D-678893	21.10.2014	2004	19	104.4	7	4	12.4	2 и более	2 и более	до 2.7	Да	Нет	Централизованное	2 и более	Централизованное		Хорошее								Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	2394.64	250000.00	1	Минск5_жм	0	1	0	1845.38
2367	500/D-683822	15.10.2014	2005	10	59	6	2	9.2	1	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	2389.83	141000.00	0	Минск9_жм	0	1	0	1853.35
2489	500/D-708010679	06.11.2014	2010	17	49.3	6	1	12.3	1	Нет	2.7 - 3	Да	Нет	Централизованное	1	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	2373.23	117000.00	0	Минск6_жм	0	1	0	1923.17
2514	500/D-708036422	19.11.2014	2012	15	113.8	12	3		2 и более	Нет	до 2.7	Да	Да	Централизованное	2 и более	Централизованное		Хорошее								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	2328.65	265000.00	0	Минск9_жм	0	1	0	1790.78
2521	500/D-708036497	23.10.2014	2012	15	133.9	10	3	14.2	2 и более	Нет	до 2.7	Да	Нет	Централизованное	1	Централизованное	Естественная вентиляция	Хорошее								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	2240.48	300000.00	1	Минск9_жм	0	1	0	1806.34
4302	500/D-704779	18.11.2014	2008	9	46.5	5	1	11.4	1	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция	Хорошее								Иное	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	2365.59	110000.00	1	Минск9_жм	0	1	0	1758.21
4778	500/D-708120831	21.11.2014	2013	7	133	3	3	18.5	1	1	2.7 - 3		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	2406.02	320000.00	0	Минск7_жм	0	1	0	1862.18
4780	500/D-708120850	24.10.2014	2013	7	138.5	3	3	18.4	2 и более	2 и более	2.7 - 3		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	2258.77	312840.00	0	Минск7_жм	0	1	0	1912.51
4781	500/D-708120853	24.10.2014	2013	7	139.3	4	3	18.6	2 и более	2 и более	2.7 - 3		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	2260.01	314820.00	0	Минск7_жм	0	1	0	1895.73
4782	500/D-708120856	24.10.2014	2013	7	138.9	5	3	18.5	2 и более	2 и более	2.7 - 3		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	2260.19	313940.00	0	Минск7_жм	0	1	0	1895.73
4852	500/D-74918	07.05.2018	1947	6	52.6	3	2	5.64	1	нет	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1734.79	91250.00	1	Минск1_жм	1	1	1	1618.18
4869	500/D-93131	28.04.2018	1955	7	60.36	4	2	13.73	1	1	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1739.56	105000.00	1	Минск1_жм	1	1	1	1599.05
4870	500/D-93166	11.10.2018	1955	7	53.8	2	2	6.3	нет	1	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1672.86	90000.00	1	Минск1_жм	1	1	1	1647.34
4879	500/D-98017	05.06.2018	1956	3	36.53	1	2	5.05	нет	нет	2.7 - 3			Автономное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1642.49	60000.00	1	Минск7_жм	0	1	1	1439.94
4883	500/D-99208	22.10.2014	1956	4	61.09	4	2	12.51	нет	1	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1800.62	110000.00	0	Минск8_жм	1	1	0	1628.31
4892	500/D-101295	16.07.2018	1957	4	36.8	1	1	8.5	нет	нет	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1630.43	60000.00	1	Минск1_жм	1	1	1	1506.98
4893	500/D-101301	21.08.2018	1957	4	37.69	3	1	9.1	1	1	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1724.60	65000.00	1	Минск1_жм	1	1	1	1566.82
4904	500/D-102171	30.07.2018	1961	5	31.4	2	1	5.92	1	2 и более	до 2.7		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1719.75	54000.00	0	Минск4_жм	0	1	0	1570.23
4905	500/D-102176	18.10.2018	1961	5	31.04	4	1	5.87	1	1	до 2.7		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1562.50	48500.00	1	Минск4_жм	0	1	1	1554.37
4921	500/D-109193	20.07.2018	1958	4	75	2	2	32.2	2 и более	2 и более	2.7 - 3			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1600.00	120000.00	0	Минск12_жм	0	1	0	1134.77
4953	500/D-115242	15.08.2018	1959	4	30.19	1	1	6.15	нет	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1738.99	52500.00	0	Минск8_жм	0	1	0	1306.43
4961	500/D-115385	28.06.2018	1959	5	75.3	2	3	8.9	нет	2 и более	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1728.16	130130.13	1	Минск1_жм	1	1	1	1588.24
4993	500/D-126450	10.11.2018	1960	4	40.31	4	2	5.81	1	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1602.58	64600.00	1	Минск12_жм	0	1	1	1265.09
5008	500/D-128674	30.11.2018	1960	8	44.9	4	2	5.8	1	1	до 2.7		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1543.43	69300.00	1	Минск2_жм	1	1	1	1344.88
5015	500/D-135446	15.11.2018	1961	5	29.1	4	1	5.6	1	нет	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1632.30	47500.00	0	Минск5_жм	0	1	0	1403.54
5034	500/D-137916	21.03.2018	1961	4	41.8	4	2	6.2	1	2 и более	до 2.7		нет	Централизованное		Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1794.26	75000.00	0	Минск1_жм	0	1	0	1588.35
5072	500/D-152004	08.11.2018	1962	5	43.53	4	2	5.73	1	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1677.00	73000.00	1	Минск1_жм	1	1	1	1765.96
5122	500/D-171048	16.11.2018	1964	5	30.7	2	1	5.8	1	нет	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1785.02	54800.00	0	Минск7_жм	0	1	0	1387.19
5143	500/D-172681	22.08.2018	1964	5	31.1	2	1	5.7	1	нет	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1559.49	48500.00	0	Минск11_жм	0	1	0	1349.44
5150	500/D-172768	16.02.2018	1964	5	42.18	2	2	6.51	1	нет	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1719.45	72526.25	1	Минск1_жм	0	1	1	1636.00
5214	500/D-185488	29.06.2018	1965	5	30.2	2	1	5.6	1	нет	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1821.19	55000.00	0	Минск7_жм	0	1	0	1400.66
5230	500/D-195406	12.07.2018	1966	5	32.6	2	1	7.2	нет	2 и более	до 2.7		да	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1687.12	55000.00	0	Минск1_жм	0	1	0	1678.23
5231	500/D-195442	14.03.2018	1966	9	61.2	6	2	7.2	1	2 и более	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1764.71	108000.00	1	Минск1_жм	0	1	1	1523.72
5234	500/D-195453	04.06.2018	1966	9	61.5	1	3	9		2 и более	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1723.58	106000.00	1	Минск1_жм	0	1	1	1563.19
5256	500/D-198635	19.12.2018	1966	5	33.2	4	1	5.8	1	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1656.63	55000.00	0	Минск8_жм	0	1	0	1411.67
5258	500/D-198701	18.04.2018	1966	13	30.9	3	1	6.77	2 и более	1	2.7 - 3		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1618.12	50000.00	0	Минск7_жм	0	1	0	1484.97
5264	500/D-208383	29.12.2018	1967	5	34.7	2	1	6.9	1	2 и более	до 2.7		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1527.38	53000.00	1	Минск3_жм	0	1	1	1371.95
5414	500/D-226127	25.10.2018	1968	9	32.54	4	1	7.1	1	1	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1536.57	50000.00	1	Минск7_жм	1	1	1	1484.67
5496	500/D-238018	03.11.2018	1969	9	31.4	2	1	7.1	1	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1592.36	50000.00	0	Минск15_жм	0	1	0	1240.30
5571	500/D-266531	12.09.2018	1971	9	30.2	2	1	6.7	1	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1556.29	47000.00	0	Минск10_жм	0	1	0	1432.61
5589	500/D-266776	26.10.2018	1971	11	33.9	9	1	6.7	1	1	3.0 - 4.0		да	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1519.17	51500.00	1	Минск11_жм	0	1	1	1376.02
5593	500/D-266991	28.12.2018	1971	9	31.2	4	1	7.1	нет	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1698.72	53000.00	0	Минск5_жм	0	1	0	1445.64
5641	500/D-268396	10.04.2018	1971	5	21.6	4	1	5.18	1	1	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1805.56	39000.00	1	Минск10_жм	0	1	1	1526.35
5646	500/D-268460	01.06.2018	1971	5	21.71	3	1	5.34	1	1	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1704.28	37000.00	1	Минск10_жм	0	1	1	1541.61
5662	500/D-268785	14.11.2018	1971	9	31.99	8	1	7.34	1	1	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1578.62	50500.00	1	Минск15_жм	1	1	1	1227.65
5685	500/D-284173	27.10.2018	1972	9	34.81	7	1	7.41	1	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1628.84	56700.00	0	Минск10_жм	0	1	0	1337.37
5799	500/D-287223	04.06.2018	1972	9	33.04	5	1	7.15	1	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1710.05	56500.00	0	Минск10_жм	0	1	0	1350.88
5817	500/D-287553	06.07.2018	1972	9	32.92	2	1	7.07	1	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1670.72	55000.00	0	Минск10_жм	0	1	0	1350.88
5954	500/D-315438	17.09.2018	1975	9	32.6	4	1	7.5	1	2 и более	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1656.44	54000.00	0	Минск10_жм	1	1	0	1337.37
5982	500/D-328316	10.11.2018	1975	9	33.11	7	1	7.3	1	2 и более	до 2.7		да	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1534.28	50800.00	1	Минск10_жм	0	1	1	1337.37
5998	500/D-328568	05.10.2018	1975	9	71.77	4	3	7.1	2 и более	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1525.71	109500.00	1	Минск3_жм	0	1	1	1302.81
6027	500/D-332008	25.07.2018	1976	9	47.3	4	2	7.2	1	нет	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1691.33	80000.00	0	Минск3_жм	0	1	0	1352.90
6030	500/D-332029	25.09.2018	1976	9	31.2	2	1	6.9	нет	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1618.59	50500.00	0	Минск3_жм	0	1	0	1428.23
6045	500/D-343845	17.05.2018	1976	9	32.1	4	1	7.02	1	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1682.24	54000.00	0	Минск12_жм	0	1	0	1397.94
6128	500/D-353763	14.09.2018	1977	5	28.84	3	1	5.39	1	1	до 2.7		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1543.00	44500.00	1	Минск12_жм	0	1	1	1472.30
6191	500/D-364924	14.08.2018	1978	9	32.9	4	1	7.1	1	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1550.15	51000.00	0	Минск14_жм	0	1	0	1296.50
6274	500/D-379928	08.11.2018	1979	9	47.93	4	2	7.4	1	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1518.88	72800.00	0	Минск13_жм	1	1	0	1215.55
6287	500/D-382197	03.08.2018	1979	9	46.4	8	2	7.11	1	2 и более	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1551.57	71992.80	1	Минск5_жм	0	1	1	1314.93
6311	500/D-391566	08.08.2018	1980	12	36.2	4	1	6.9	1	2 и более	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1574.59	57000.00	0	Минск16_жм	1	1	0	1289.05
6312	500/D-391577	05.11.2018	1980	12	37.3	8	1	7.6	1	2 и более	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1592.49	59400.00	0	Минск16_жм	1	1	0	1289.05
6385	500/D-393882	10.11.2014	1980	9	62.2	5	3	7	1	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1768.49	110000.00	0	Минск5_жм	1	1	0	1698.07
6391	500/D-394064	02.08.2018	1980	9	33.31	6	1	7.3	1	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1633.14	54400.00	0	Минск5_жм	1	1	0	1362.90
6467	500/D-404390	08.11.2018	1974	9	30.94	3	1	7.22	1	1	до 2.7		нет	Централизованное		Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1616.03	50000.00	0	Минск15_жм	1	1	0	1252.70
6485	500/D-405748	22.10.2018	1981	9	35.5	5	2	8.4	1	нет	до 2.7		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1545.46	54863.85	1	Минск4_жм	0	1	1	1566.39
6618	500/D-449137	14.12.2018	1984	10	36.5	2	1	8.4	1	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1561.64	57000.00	0	Минск9_жм	0	1	0	1229.00
6634	500/D-449495	26.09.2018	1984	10	35.69	3	1	8.32	1	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1569.07	56000.00	0	Минск9_жм	0	1	0	1241.17
6676	500/D-464926	31.08.2018	1985	9	63.59	8	3	8.01	1	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1792.73	114000.00	0	Минск16_жм	0	1	0	1287.80
6708	500/D-466062	08.10.2018	1985	9	28.63	5	1	7.01	1	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1519.39	43500.00	1	Минск11_жм	1	1	1	1364.67
6783	500/D-525355	06.11.2018	1989	9	33.6	3	1	7.2	1	2 и более	до 2.7		нет	Централизованное		Централизованное										Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1785.71	60000.00	0	Минск10_жм	0	1	0	1378.31
